Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,999,1,501.3,0.02,0.00,0.00,501.0,6n-5s-qbft-v25.12.0_20260124_024916,query,500,query_tps500
query,1000,0,591.7,0.01,0.00,0.00,591.0,6n-5s-qbft-v25.12.0_20260124_024916,query,600,query_tps600
query,1000,0,604.2,0.01,0.00,0.00,603.5,6n-5s-qbft-v25.12.0_20260124_024916,query,700,query_tps700
query,1000,0,596.3,0.01,0.00,0.00,595.9,6n-5s-qbft-v25.12.0_20260124_024916,query,800,query_tps800
