Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [KB],Memory(max) [GB],Memory(avg) [GB]
/node-besu2,0.20333333333333334,0.05291666666666667,555,537,0.00,0.00,0.594,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,160,open_tps160,,,
/node-besu3,0.09250000000000001,0.027083333333333334,546,503,0.00,0.00,1.30,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,160,open_tps160,,,
/node-besu4,0.08625,0.024583333333333332,574,559,0.00,0.00,1.23,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,160,open_tps160,,,
/node-besu1,0.16541666666666668,0.08041666666666666,821,703,0.00,0.00,1.55,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,160,open_tps160,,,
/node-besu2,0.05375,0.01958333333333333,557,556,0.00,0.00,1.27,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,180,open_tps180,,,
/node-besu3,0.015,0.01,596,591,0.00,0.00,0.605,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,180,open_tps180,,,
/node-besu4,0.010416666666666666,0.0075,579,577,0.00,0.00,0.625,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,180,open_tps180,,,
/node-besu1,0.10166666666666667,0.04666666666666667,825,823,0.00,0.00,0.922,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,180,open_tps180,,,
/node-besu2,0.049166666666666664,0.018333333333333333,563,561,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,200,open_tps200,268,,
/node-besu3,0.007083333333333334,0.004166666666666667,601,599,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,200,open_tps200,652,,
/node-besu4,0.010416666666666666,0.005416666666666667,580,580,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,200,open_tps200,632,,
/node-besu1,0.008333333333333333,0.005,932,861,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,200,open_tps200,944,,
/node-besu2,0.011666666666666667,0.007083333333333334,,,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,220,open_tps220,0.00,0.554,0.552
/node-besu3,0.01958333333333333,0.008333333333333333,,,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,220,open_tps220,464,0.589,0.588
/node-besu4,0.14125000000000001,0.049166666666666664,,,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,220,open_tps220,660,0.573,0.571
/node-besu1,0.06916666666666667,0.024999999999999998,,,0.00,0.00,,0.00,4n-5s-qbft-v25.12.0_20260124_023659,open,220,open_tps220,804,1.06,1.01
