Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,1000,0,160.3,7.03,3.19,5.21,89.8,4n-5s-qbft-v25.12.0_20260124_023659,open,160,open_tps160
open,1000,0,180.3,6.45,1.35,4.41,101.1,4n-5s-qbft-v25.12.0_20260124_023659,open,180,open_tps180
open,1000,0,200.3,6.13,1.51,4.12,105.0,4n-5s-qbft-v25.12.0_20260124_023659,open,200,open_tps200
open,1000,0,216.2,5.66,3.07,4.19,109.5,4n-5s-qbft-v25.12.0_20260124_023659,open,220,open_tps220
