Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [MB]
/node-besu1,0.012499999999999999,0.007916666666666667,1.11,821,0.00,0.00,248,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,500,query_tps500,
/node-besu4,0.002916666666666667,0.002916666666666667,0.599,614,0.00,0.00,76.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,500,query_tps500,
/node-besu3,0.012499999999999999,0.0075,0.601,615,0.00,0.00,72.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,500,query_tps500,
/node-besu2,0.007083333333333334,0.005,0.853,874,0.00,0.00,72.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,500,query_tps500,
/node-besu1,0.008749999999999999,0.005833333333333334,,495,0.00,0.00,256,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,600,query_tps600,504
/node-besu4,0.02125,0.012083333333333333,,614,0.00,0.00,48.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,600,query_tps600,614
/node-besu3,0.02,0.011250000000000001,,615,0.00,0.00,40.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,600,query_tps600,615
/node-besu2,0.016666666666666666,0.009583333333333334,,874,0.00,0.00,40.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,600,query_tps600,874
/node-besu1,0.005833333333333334,0.004166666666666667,,486,0.00,0.00,200,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,700,query_tps700,489
/node-besu4,0.00375,0.0033333333333333335,,613,0.00,0.00,32.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,700,query_tps700,613
/node-besu3,0.02125,0.012083333333333333,,614,0.00,0.00,32.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,700,query_tps700,614
/node-besu2,0.014166666666666668,0.008333333333333333,,873,0.00,0.00,36.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,700,query_tps700,873
/node-besu1,0.014166666666666668,0.008749999999999999,,484,0.00,0.00,196,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,800,query_tps800,486
/node-besu4,0.035416666666666666,0.01916666666666667,,613,0.00,0.00,32.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,800,query_tps800,613
/node-besu3,0.009583333333333334,0.005833333333333334,,614,0.00,0.00,32.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,800,query_tps800,614
/node-besu2,0.007916666666666667,0.005,,873,0.00,0.00,32.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,query,800,query_tps800,873
