Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,1000,0,501.5,0.02,0.00,0.00,501.0,4n-10s-qbft-v25.12.0_20260124_032854,query,500,query_tps500
query,1000,0,593.5,0.01,0.00,0.00,592.8,4n-10s-qbft-v25.12.0_20260124_032854,query,600,query_tps600
query,1000,0,565.0,0.01,0.00,0.00,564.3,4n-10s-qbft-v25.12.0_20260124_032854,query,700,query_tps700
query,1000,0,587.2,0.01,0.00,0.00,586.5,4n-10s-qbft-v25.12.0_20260124_032854,query,800,query_tps800
