Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu4,0.0275,0.017916666666666668,0.558,0.558,0.00,0.00,36.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,500,query_tps500
/node-besu6,0.00375,0.0033333333333333335,0.555,0.555,0.00,0.00,192,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,500,query_tps500
/node-besu2,0.0033333333333333335,0.002916666666666667,0.625,0.625,0.00,0.00,36.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,500,query_tps500
/node-besu5,0.0033333333333333335,0.002916666666666667,0.597,0.597,0.00,0.00,0.00,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,500,query_tps500
/node-besu3,0.020416666666666666,0.011666666666666667,0.536,0.533,0.00,0.00,32.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,500,query_tps500
/node-besu1,0.00375,0.00375,1.12,1.12,0.00,0.00,164,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,500,query_tps500
/node-besu4,0.024583333333333332,0.01375,0.558,0.558,0.00,0.00,72.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,600,query_tps600
/node-besu6,0.008333333333333333,0.005416666666666667,0.555,0.555,0.00,0.00,16.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,600,query_tps600
/node-besu2,0.005,0.00375,0.625,0.625,0.00,0.00,92.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,600,query_tps600
/node-besu5,0.005416666666666667,0.004166666666666667,0.597,0.597,0.00,0.00,88.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,600,query_tps600
/node-besu3,0.004583333333333333,0.00375,0.567,0.563,0.00,0.00,84.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,600,query_tps600
/node-besu1,0.005416666666666667,0.004166666666666667,1.12,1.12,0.00,0.00,188,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,600,query_tps600
/node-besu4,0.005,0.00375,0.558,0.558,0.00,0.00,32.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,700,query_tps700
/node-besu6,0.008333333333333333,0.005416666666666667,0.555,0.555,0.00,0.00,0.00,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,700,query_tps700
/node-besu2,0.002916666666666667,0.0025,0.625,0.625,0.00,0.00,68.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,700,query_tps700
/node-besu5,0.007916666666666667,0.005833333333333334,0.598,0.597,0.00,0.00,16.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,700,query_tps700
/node-besu3,0.009583333333333334,0.0062499999999999995,0.605,0.599,0.00,0.00,60.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,700,query_tps700
/node-besu1,0.016666666666666666,0.01,1.12,1.12,0.00,0.00,224,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,700,query_tps700
/node-besu4,0.0075,0.005,0.558,0.558,0.00,0.00,0.00,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,800,query_tps800
/node-besu6,0.002916666666666667,0.002916666666666667,0.555,0.555,0.00,0.00,76.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,800,query_tps800
/node-besu2,0.0025,0.0025,0.625,0.625,0.00,0.00,76.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,800,query_tps800
/node-besu5,0.002916666666666667,0.0025,0.598,0.598,0.00,0.00,4.00,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,800,query_tps800
/node-besu3,0.002916666666666667,0.002916666666666667,0.614,0.614,0.00,0.00,76.0,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,800,query_tps800
/node-besu1,0.002916666666666667,0.002916666666666667,1.11,1.11,0.00,0.00,180,0.00,6n-15s-ibft-v25.10.0_20260124_141512,query,800,query_tps800
