Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Disc Write [KB],Memory(avg) [GB]
/node-besu1,0.31625,0.09041666666666666,875,685,0.00,0.00,1.72,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,160,open_tps160,,,
/node-besu4,0.7841666666666667,0.21083333333333332,606,566,0.00,0.00,1.27,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,160,open_tps160,,,
/node-besu3,0.8379166666666666,0.18416666666666667,566,495,0.00,0.00,1.43,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,160,open_tps160,,,
/node-besu2,0.9625,0.21083333333333332,567,556,0.00,0.00,1.26,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,160,open_tps160,,,
/node-besu1,0.8975,0.24750000000000003,,997,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,180,open_tps180,1.09,956,
/node-besu4,0.8008333333333333,0.2025,,608,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,180,open_tps180,0.595,720,
/node-besu3,0.009166666666666667,0.005833333333333334,,531,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,180,open_tps180,0.586,864,
/node-besu2,0.5437500000000001,0.14041666666666666,,574,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,180,open_tps180,0.563,704,
/node-besu1,0.7062499999999999,0.19874999999999998,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,200,open_tps200,1.10,956,1.09
/node-besu4,0.4595833333333333,0.11708333333333333,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,200,open_tps200,0.597,644,0.596
/node-besu3,0.2816666666666667,0.0725,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,200,open_tps200,0.593,644,0.591
/node-besu2,0.28541666666666665,0.07458333333333333,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,200,open_tps200,0.843,768,0.728
/node-besu1,0.24666666666666667,0.06416666666666666,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,220,open_tps220,1.11,852,1.11
/node-besu4,0.0025,0.0025,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,220,open_tps220,0.599,644,0.598
/node-besu3,0.011250000000000001,0.004583333333333333,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,220,open_tps220,0.601,532,0.599
/node-besu2,0.002916666666666667,0.0025,,,0.00,0.00,,0.00,4n-10s-qbft-v25.12.0_20260124_032854,open,220,open_tps220,0.858,544,0.852
