Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,1000,0,160.3,12.84,0.88,10.61,60.2,4n-10s-qbft-v25.12.0_20260124_032854,open,160,open_tps160
open,1000,0,180.3,10.29,4.09,6.01,67.1,4n-10s-qbft-v25.12.0_20260124_032854,open,180,open_tps180
open,1000,0,200.4,14.76,0.16,10.50,66.6,4n-10s-qbft-v25.12.0_20260124_032854,open,200,open_tps200
open,1000,0,220.1,10.20,3.92,5.32,70.4,4n-10s-qbft-v25.12.0_20260124_032854,open,220,open_tps220
