Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,102.9,1.71,1.26,1.49,28.6,8n-10s-qbft-v25.12.0_20260124_034647,transfer,100,transfer_tps100
transfer,50,0,113.6,10.22,9.78,10.01,4.9,8n-10s-qbft-v25.12.0_20260124_034647,transfer,110,transfer_tps110
transfer,50,0,123.8,9.16,8.77,8.96,5.4,8n-10s-qbft-v25.12.0_20260124_034647,transfer,120,transfer_tps120
transfer,50,0,134.8,10.14,0.16,6.29,4.9,8n-10s-qbft-v25.12.0_20260124_034647,transfer,130,transfer_tps130
