Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,102.9,4.88,4.49,4.69,10.0,4n-5s-ibft-v25.12.0_20260124_030515,transfer,100,transfer_tps100
transfer,50,0,113.1,5.15,0.11,4.48,9.6,4n-5s-ibft-v25.12.0_20260124_030515,transfer,110,transfer_tps110
transfer,50,0,120.8,5.26,0.29,3.22,9.2,4n-5s-ibft-v25.12.0_20260124_030515,transfer,120,transfer_tps120
transfer,50,0,134.4,5.03,0.20,0.65,9.3,4n-5s-ibft-v25.12.0_20260124_030515,transfer,130,transfer_tps130
