Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,1000,0,501.5,0.02,0.00,0.00,501.3,4n-5s-ibft-v25.12.0_20260124_030515,query,500,query_tps500
query,1000,0,591.4,0.01,0.00,0.00,591.0,4n-5s-ibft-v25.12.0_20260124_030515,query,600,query_tps600
query,1000,0,586.5,0.02,0.00,0.00,585.8,4n-5s-ibft-v25.12.0_20260124_030515,query,700,query_tps700
query,1000,0,583.1,0.02,0.00,0.00,582.4,4n-5s-ibft-v25.12.0_20260124_030515,query,800,query_tps800
