Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [MB]
/node-besu2,0.01875,0.010833333333333334,0.608,622,0.00,0.00,44.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,500,query_tps500,
/node-besu4,0.01625,0.015416666666666667,0.596,610,0.00,0.00,40.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,500,query_tps500,
/node-besu3,0.017083333333333332,0.010833333333333334,0.473,482,0.00,0.00,0.00,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,500,query_tps500,
/node-besu1,0.016666666666666666,0.012083333333333333,1.06,797,0.00,0.00,216,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,500,query_tps500,
/node-besu2,0.030833333333333334,0.016666666666666666,,621,0.00,0.00,48.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,600,query_tps600,621
/node-besu4,0.0025,0.0025,,609,0.00,0.00,44.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,600,query_tps600,609
/node-besu3,0.005,0.00375,,480,0.00,0.00,16.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,600,query_tps600,480
/node-besu1,0.0033333333333333335,0.002916666666666667,,498,0.00,0.00,176,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,600,query_tps600,506
/node-besu2,0.015833333333333335,0.009166666666666667,,622,0.00,0.00,0.00,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,700,query_tps700,622
/node-besu4,0.012916666666666667,0.0075,,609,0.00,0.00,84.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,700,query_tps700,609
/node-besu3,0.014583333333333332,0.008749999999999999,,480,0.00,0.00,132,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,700,query_tps700,482
/node-besu1,0.016666666666666666,0.009583333333333334,,480,0.00,0.00,0.00,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,700,query_tps700,482
/node-besu2,0.015,0.008749999999999999,,622,0.00,0.00,0.00,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,800,query_tps800,623
/node-besu4,0.015833333333333335,0.009166666666666667,,609,0.00,0.00,92.0,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,800,query_tps800,609
/node-besu3,0.017916666666666668,0.010833333333333334,,480,0.00,0.00,136,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,800,query_tps800,480
/node-besu1,0.06583333333333334,0.04,,479,0.00,0.00,652,0.00,4n-5s-ibft-v25.12.0_20260124_030515,query,800,query_tps800,479
