Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,1000,0,501.5,0.02,0.00,0.00,501.0,4n-5s-qbft-v25.12.0_20260124_023659,query,500,query_tps500
query,1000,0,591.7,0.02,0.00,0.00,591.0,4n-5s-qbft-v25.12.0_20260124_023659,query,600,query_tps600
query,999,1,564.0,0.01,0.00,0.00,563.4,4n-5s-qbft-v25.12.0_20260124_023659,query,700,query_tps700
query,1000,0,570.5,0.02,0.00,0.00,569.8,4n-5s-qbft-v25.12.0_20260124_023659,query,800,query_tps800
