Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,1000,0,160.3,15.92,7.20,9.59,46.9,6n-15s-qbft-v25.10.0_20260124_142451,open,160,open_tps160
open,1000,0,180.3,15.68,4.74,7.58,49.1,6n-15s-qbft-v25.10.0_20260124_142451,open,180,open_tps180
open,1000,0,200.4,14.74,9.74,10.68,67.2,6n-15s-qbft-v25.10.0_20260124_142451,open,200,open_tps200
open,1000,0,220.5,7.31,6.25,6.76,92.7,6n-15s-qbft-v25.10.0_20260124_142451,open,220,open_tps220
