Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu6,0.025833333333333333,0.010416666666666666,0.669,0.669,0.00,0.00,108,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu4,0.005416666666666667,0.0033333333333333335,0.592,0.591,0.00,0.00,204,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu5,0.012499999999999999,0.006666666666666667,0.657,0.657,0.00,0.00,196,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu8,0.007916666666666667,0.005,0.588,0.587,0.00,0.00,0.00,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu3,0.007083333333333334,0.004166666666666667,0.642,0.642,0.00,0.00,132,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu2,0.005416666666666667,0.0033333333333333335,0.713,0.712,0.00,0.00,100,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu1,0.005,0.0033333333333333335,1.18,1.18,0.00,0.00,136,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu7,0.007916666666666667,0.0062499999999999995,0.656,0.656,0.00,0.00,204,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,100,transfer_tps100
/node-besu6,0.18083333333333332,0.06375,0.670,0.670,0.00,0.00,248,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu4,0.013333333333333334,0.0062499999999999995,0.592,0.592,0.00,0.00,240,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu5,0.013333333333333334,0.009583333333333334,0.657,0.657,0.00,0.00,244,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu8,0.015416666666666667,0.006666666666666667,0.588,0.588,0.00,0.00,100,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu3,0.011250000000000001,0.005416666666666667,0.647,0.646,0.00,0.00,248,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu2,0.018333333333333333,0.0075,0.713,0.713,0.00,0.00,252,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu1,0.015,0.006666666666666667,1.18,1.18,0.00,0.00,244,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu7,0.01875,0.007916666666666667,0.657,0.657,0.00,0.00,236,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,110,transfer_tps110
/node-besu6,0.015833333333333335,0.007083333333333334,0.670,0.670,0.00,0.00,132,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu4,0.005416666666666667,0.00375,0.593,0.592,0.00,0.00,236,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu5,0.008749999999999999,0.006666666666666667,0.657,0.657,0.00,0.00,216,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu8,0.008333333333333333,0.004583333333333333,0.588,0.588,0.00,0.00,204,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu3,0.012916666666666667,0.005833333333333334,0.647,0.647,0.00,0.00,240,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu2,0.0025,0.0025,0.714,0.714,0.00,0.00,248,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu1,0.0025,0.0025,1.18,1.18,0.00,0.00,224,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu7,0.008333333333333333,0.004583333333333333,0.657,0.657,0.00,0.00,236,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,120,transfer_tps120
/node-besu6,0.08833333333333333,0.03125,0.671,0.670,0.00,0.00,156,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu4,0.0075,0.005833333333333334,0.593,0.593,0.00,0.00,0.00,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu5,0.02,0.01,0.658,0.658,0.00,0.00,120,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu8,0.014166666666666668,0.007916666666666667,0.589,0.589,0.00,0.00,0.00,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu3,0.0075,0.004166666666666667,0.646,0.646,0.00,0.00,0.00,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu2,0.007916666666666667,0.004166666666666667,0.715,0.715,0.00,0.00,108,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu1,0.007916666666666667,0.004583333333333333,1.18,1.18,0.00,0.00,116,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
/node-besu7,0.0075,0.005833333333333334,0.657,0.657,0.00,0.00,132,0.00,8n-10s-ibft-v25.12.0_20260124_041322,transfer,130,transfer_tps130
