Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.3133333333333333,0.10625,1.08,1.08,0.00,0.00,156,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
/node-besu3,0.0075,0.004166666666666667,0.567,0.565,0.00,0.00,68.0,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
/node-besu6,0.007083333333333334,0.004166666666666667,0.499,0.495,0.00,0.00,132,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
/node-besu5,0.007916666666666667,0.004583333333333333,0.557,0.556,0.00,0.00,104,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
/node-besu2,0.007083333333333334,0.005416666666666667,0.583,0.582,0.00,0.00,72.0,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
/node-besu4,0.0075,0.004166666666666667,0.596,0.596,0.00,0.00,72.0,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
/node-besu1,0.1679166666666667,0.05875,1.08,1.08,0.00,0.00,236,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
/node-besu3,0.00375,0.002916666666666667,0.567,0.567,0.00,0.00,260,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
/node-besu6,0.007083333333333334,0.004166666666666667,0.500,0.500,0.00,0.00,196,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
/node-besu5,0.002916666666666667,0.002916666666666667,0.557,0.557,0.00,0.00,236,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
/node-besu2,0.004166666666666667,0.002916666666666667,0.583,0.583,0.00,0.00,228,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
/node-besu4,0.002916666666666667,0.002916666666666667,0.597,0.597,0.00,0.00,316,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
/node-besu1,0.09958333333333334,0.041666666666666664,1.08,1.08,0.00,0.00,148,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
/node-besu3,0.015,0.008749999999999999,0.568,0.568,0.00,0.00,224,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
/node-besu6,0.005416666666666667,0.0033333333333333335,0.501,0.500,0.00,0.00,0.00,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
/node-besu5,0.002916666666666667,0.0025,0.558,0.557,0.00,0.00,192,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
/node-besu2,0.0025,0.0025,0.584,0.583,0.00,0.00,232,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
/node-besu4,0.002916666666666667,0.0025,0.597,0.597,0.00,0.00,140,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
/node-besu1,0.03291666666666667,0.013333333333333334,1.08,1.08,0.00,0.00,84.0,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
/node-besu3,0.0033333333333333335,0.002916666666666667,0.568,0.568,0.00,0.00,232,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
/node-besu6,0.002916666666666667,0.0025,0.501,0.501,0.00,0.00,0.00,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
/node-besu5,0.017499999999999998,0.0075,0.559,0.558,0.00,0.00,232,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
/node-besu2,0.006666666666666667,0.00375,0.584,0.584,0.00,0.00,228,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
/node-besu4,0.0025,0.0025,0.598,0.597,0.00,0.00,0.00,0.00,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
