Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,103.1,9.96,9.50,9.73,5.0,6n-15s-qbft-v25.10.0_20260124_142451,transfer,100,transfer_tps100
transfer,50,0,113.4,10.32,9.88,10.11,4.8,6n-15s-qbft-v25.10.0_20260124_142451,transfer,110,transfer_tps110
transfer,50,0,123.5,10.38,9.99,10.19,4.8,6n-15s-qbft-v25.10.0_20260124_142451,transfer,120,transfer_tps120
transfer,50,0,134.0,9.96,9.60,9.78,5.0,6n-15s-qbft-v25.10.0_20260124_142451,transfer,130,transfer_tps130
