Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,1000,0,160.3,15.45,12.96,14.27,52.1,6n-10s-qbft-v25.12.0_20260124_033749,open,160,open_tps160
open,1000,0,180.3,11.85,1.55,8.83,65.2,6n-10s-qbft-v25.12.0_20260124_033749,open,180,open_tps180
open,1000,0,200.2,11.34,6.34,7.26,87.0,6n-10s-qbft-v25.12.0_20260124_033749,open,200,open_tps200
open,1000,0,220.5,7.32,6.28,6.84,92.4,6n-10s-qbft-v25.12.0_20260124_033749,open,220,open_tps220
