Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,1000,0,501.8,0.02,0.00,0.00,501.3,8n-5s-ibft-v25.12.0_20260124_032052,query,500,query_tps500
query,1000,0,592.8,0.01,0.00,0.00,592.4,8n-5s-ibft-v25.12.0_20260124_032052,query,600,query_tps600
query,1000,0,606.8,0.01,0.00,0.00,606.1,8n-5s-ibft-v25.12.0_20260124_032052,query,700,query_tps700
query,1000,0,593.5,0.01,0.00,0.00,592.8,8n-5s-ibft-v25.12.0_20260124_032052,query,800,query_tps800
