Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu5,0.0033333333333333335,0.0033333333333333335,0.607,0.607,0.00,0.00,32.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,500,query_tps500
/node-besu1,0.008333333333333333,0.0062499999999999995,1.09,1.09,0.00,0.00,228,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,500,query_tps500
/node-besu3,0.008749999999999999,0.005833333333333334,0.591,0.591,0.00,0.00,72.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,500,query_tps500
/node-besu2,0.009583333333333334,0.006666666666666667,0.433,0.433,0.00,0.00,728,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,500,query_tps500
/node-besu6,0.007916666666666667,0.005416666666666667,0.622,0.622,0.00,0.00,80.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,500,query_tps500
/node-besu4,0.0075,0.005416666666666667,0.604,0.604,0.00,0.00,96.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,500,query_tps500
/node-besu5,0.0033333333333333335,0.002916666666666667,0.607,0.607,0.00,0.00,96.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,600,query_tps600
/node-besu1,0.008749999999999999,0.005833333333333334,1.09,1.09,0.00,0.00,240,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,600,query_tps600
/node-besu3,0.0033333333333333335,0.0033333333333333335,0.592,0.591,0.00,0.00,96.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,600,query_tps600
/node-besu2,0.0033333333333333335,0.0033333333333333335,0.484,0.475,0.00,0.00,0.00,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,600,query_tps600
/node-besu6,0.01958333333333333,0.011250000000000001,0.622,0.622,0.00,0.00,112,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,600,query_tps600
/node-besu4,0.0033333333333333335,0.002916666666666667,0.604,0.604,0.00,0.00,84.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,600,query_tps600
/node-besu5,0.0025,0.0025,0.606,0.606,0.00,0.00,72.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,700,query_tps700
/node-besu1,0.0033333333333333335,0.002916666666666667,1.09,1.09,0.00,0.00,140,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,700,query_tps700
/node-besu3,0.002916666666666667,0.0025,0.591,0.590,0.00,0.00,56.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,700,query_tps700
/node-besu2,0.005,0.004583333333333333,0.527,0.518,0.00,0.00,12.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,700,query_tps700
/node-besu6,0.0025,0.0025,0.621,0.621,0.00,0.00,48.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,700,query_tps700
/node-besu4,0.0025,0.0025,0.603,0.603,0.00,0.00,0.00,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,700,query_tps700
/node-besu5,0.0025,0.0025,0.606,0.606,0.00,0.00,40.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,800,query_tps800
/node-besu1,0.002916666666666667,0.002916666666666667,1.09,1.09,0.00,0.00,0.00,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,800,query_tps800
/node-besu3,0.002916666666666667,0.002916666666666667,0.591,0.591,0.00,0.00,44.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,800,query_tps800
/node-besu2,0.005416666666666667,0.004166666666666667,0.580,0.571,0.00,0.00,0.00,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,800,query_tps800
/node-besu6,0.002916666666666667,0.002916666666666667,0.621,0.621,0.00,0.00,44.0,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,800,query_tps800
/node-besu4,0.002916666666666667,0.002916666666666667,0.603,0.603,0.00,0.00,0.00,0.00,6n-10s-qbft-v25.12.0_20260124_033749,query,800,query_tps800
