Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,1000,0,160.3,13.81,11.29,12.61,57.0,4n-10s-ibft-v25.12.0_20260124_035539,open,160,open_tps160
open,1000,0,180.3,11.24,2.44,6.93,67.1,4n-10s-ibft-v25.12.0_20260124_035539,open,180,open_tps180
open,1000,0,200.4,13.14,8.15,8.88,75.0,4n-10s-ibft-v25.12.0_20260124_035539,open,200,open_tps200
open,1000,0,220.5,6.68,5.28,5.85,101.9,4n-10s-ibft-v25.12.0_20260124_035539,open,220,open_tps220
