Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
query,1000,0,501.5,0.02,0.00,0.00,501.3,6n-5s-ibft-v25.12.0_20260124_031259,query,500,query_tps500
query,1000,0,589.3,0.01,0.00,0.00,588.6,6n-5s-ibft-v25.12.0_20260124_031259,query,600,query_tps600
query,1000,0,591.4,0.01,0.00,0.00,590.7,6n-5s-ibft-v25.12.0_20260124_031259,query,700,query_tps700
query,1000,0,595.9,0.01,0.00,0.00,595.2,6n-5s-ibft-v25.12.0_20260124_031259,query,800,query_tps800
