Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.9516666666666667,0.47833333333333333,664,604,0.00,0.00,84.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,100,transfer_tps100
/node-besu4,0.0075,0.005416666666666667,614,614,0.00,0.00,188,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,100,transfer_tps100
/node-besu3,0.0075,0.004583333333333333,616,615,0.00,0.00,204,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,100,transfer_tps100
/node-besu2,0.007083333333333334,0.005,874,873,0.00,0.00,168,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,100,transfer_tps100
/node-besu1,0.41083333333333333,0.13958333333333334,663,652,0.00,0.00,96.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,110,transfer_tps110
/node-besu4,0.013333333333333334,0.0062499999999999995,615,615,0.00,0.00,92.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,110,transfer_tps110
/node-besu3,0.002916666666666667,0.0025,615,615,0.00,0.00,104,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,110,transfer_tps110
/node-besu2,0.002916666666666667,0.0025,875,875,0.00,0.00,92.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,110,transfer_tps110
/node-besu1,0.16166666666666665,0.05625,657,657,0.00,0.00,104,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,120,transfer_tps120
/node-besu4,0.004583333333333333,0.00375,615,615,0.00,0.00,108,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,120,transfer_tps120
/node-besu3,0.00375,0.002916666666666667,616,616,0.00,0.00,116,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,120,transfer_tps120
/node-besu2,0.004583333333333333,0.0033333333333333335,875,875,0.00,0.00,96.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,120,transfer_tps120
/node-besu1,0.03916666666666666,0.016666666666666666,657,657,0.00,0.00,120,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,130,transfer_tps130
/node-besu4,0.01375,0.008333333333333333,616,616,0.00,0.00,84.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,130,transfer_tps130
/node-besu3,0.014583333333333332,0.007916666666666667,616,616,0.00,0.00,92.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,130,transfer_tps130
/node-besu2,0.0075,0.004166666666666667,876,876,0.00,0.00,84.0,0.00,4n-10s-qbft-v25.12.0_20260124_032854,transfer,130,transfer_tps130
