Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [KB],Memory(max) [GB],Memory(avg) [GB]
/node-besu6,0.49500000000000005,0.125,588,575,0.00,0.00,0.660,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu4,0.6620833333333334,0.26916666666666667,608,557,0.00,0.00,0.551,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu5,0.54125,0.15916666666666665,596,560,0.00,0.00,1.30,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu8,0.4916666666666667,0.20541666666666666,600,573,0.00,0.00,0.00,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu3,0.59875,0.18375,615,579,0.00,0.00,1.36,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu2,0.5945833333333334,0.16166666666666665,657,605,0.00,0.00,1.44,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu1,0.51125,0.23291666666666666,1.00e+3,659,0.00,0.00,0.00,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu7,0.4879166666666667,0.20583333333333334,628,492,0.00,0.00,1.55,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160,,,
/node-besu6,0.30333333333333334,0.1275,676,656,0.00,0.00,0.805,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu4,0.3416666666666666,0.07666666666666667,595,592,0.00,0.00,1.52,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu5,0.38666666666666666,0.0825,603,600,0.00,0.00,0.816,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu8,0.73875,0.15625,605,595,0.00,0.00,0.363,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu3,0.5516666666666666,0.12083333333333333,615,612,0.00,0.00,0.813,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu2,0.5804166666666667,0.1225,663,660,0.00,0.00,0.816,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu1,0.6587500000000001,0.18041666666666667,1.01e+3,1.01e+3,0.00,0.00,0.0156,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu7,0.6733333333333333,0.15083333333333335,657,651,0.00,0.00,0.898,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180,,,
/node-besu6,0.07833333333333332,0.024583333333333332,678,677,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,740,,
/node-besu4,0.006666666666666667,0.00375,597,596,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,716,,
/node-besu5,0.005416666666666667,0.004166666666666667,605,589,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,752,,
/node-besu8,0.015833333333333335,0.0075,600,599,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,300,,
/node-besu3,0.005416666666666667,0.004166666666666667,622,618,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,0.00,,
/node-besu2,0.00375,0.002916666666666667,726,710,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,712,,
/node-besu1,0.004166666666666667,0.00375,1.02e+3,1.01e+3,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,16.0,,
/node-besu7,0.004583333333333333,0.00375,662,659,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200,692,,
/node-besu6,0.01,0.006666666666666667,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,748,0.668,0.665
/node-besu4,0.016666666666666666,0.007916666666666667,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,712,0.590,0.587
/node-besu5,0.01375,0.005416666666666667,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,736,0.657,0.643
/node-besu8,0.002916666666666667,0.0025,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,172,0.586,0.586
/node-besu3,0.025833333333333333,0.009166666666666667,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,216,0.631,0.548
/node-besu2,0.011666666666666667,0.005,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,676,0.710,0.710
/node-besu1,0.22124999999999997,0.06041666666666667,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,344,1.18,1.09
/node-besu7,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,0.00,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220,752,0.655,0.651
