Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
open,1000,0,160.3,16.13,13.37,14.65,51.0,8n-10s-ibft-v25.12.0_20260124_041322,open,160,open_tps160
open,1000,0,180.3,13.39,11.10,12.14,60.1,8n-10s-ibft-v25.12.0_20260124_041322,open,180,open_tps180
open,1000,0,200.4,11.63,2.83,7.22,66.4,8n-10s-ibft-v25.12.0_20260124_041322,open,200,open_tps200
open,1000,0,220.5,10.12,8.81,9.37,75.0,8n-10s-ibft-v25.12.0_20260124_041322,open,220,open_tps220
