Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,102.9,3.77,3.31,3.54,13.2,4n-5s-qbft-v25.12.0_20260124_023659,transfer,100,transfer_tps100
transfer,50,0,113.6,5.20,0.11,4.82,9.5,4n-5s-qbft-v25.12.0_20260124_023659,transfer,110,transfer_tps110
transfer,50,0,123.8,5.19,0.08,4.72,9.5,4n-5s-qbft-v25.12.0_20260124_023659,transfer,120,transfer_tps120
transfer,50,0,134.8,5.01,4.66,4.83,9.9,4n-5s-qbft-v25.12.0_20260124_023659,transfer,130,transfer_tps130
