Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu2,0.012916666666666667,0.007916666666666667,569,568,0.00,0.00,204,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,100,transfer_tps100
/node-besu3,0.0025,0.0025,604,604,0.00,0.00,200,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,100,transfer_tps100
/node-besu4,0.002916666666666667,0.002916666666666667,588,587,0.00,0.00,168,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,100,transfer_tps100
/node-besu1,0.0033333333333333335,0.002916666666666667,514,505,0.00,0.00,276,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,100,transfer_tps100
/node-besu2,0.12833333333333333,0.06541666666666666,569,569,0.00,0.00,76.0,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,110,transfer_tps110
/node-besu3,0.004583333333333333,0.0033333333333333335,604,604,0.00,0.00,68.0,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,110,transfer_tps110
/node-besu4,0.002916666666666667,0.0025,588,588,0.00,0.00,196,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,110,transfer_tps110
/node-besu1,0.034166666666666665,0.01875,500,500,0.00,0.00,108,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,110,transfer_tps110
/node-besu2,0.07791666666666668,0.04041666666666666,569,569,0.00,0.00,0.00,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,120,transfer_tps120
/node-besu3,0.002916666666666667,0.002916666666666667,604,604,0.00,0.00,84.0,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,120,transfer_tps120
/node-besu4,0.002916666666666667,0.0025,588,588,0.00,0.00,0.00,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,120,transfer_tps120
/node-besu1,0.005,0.005,502,500,0.00,0.00,136,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,120,transfer_tps120
/node-besu2,0.08916666666666667,0.046250000000000006,570,570,0.00,0.00,0.00,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,130,transfer_tps130
/node-besu3,0.014583333333333332,0.010833333333333334,605,605,0.00,0.00,60.0,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,130,transfer_tps130
/node-besu4,0.007083333333333334,0.005,589,589,0.00,0.00,156,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,130,transfer_tps130
/node-besu1,0.009166666666666667,0.0062499999999999995,504,504,0.00,0.00,124,0.00,4n-5s-qbft-v25.12.0_20260124_023659,transfer,130,transfer_tps130
