Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Experiment,TestType,TPS,Report
transfer,50,0,102.9,3.11,2.65,2.88,15.9,8n-5s-qbft-v25.12.0_20260124_025703,transfer,100,transfer_tps100
transfer,50,0,113.6,5.12,0.20,3.64,9.5,8n-5s-qbft-v25.12.0_20260124_025703,transfer,110,transfer_tps110
transfer,50,0,123.8,5.28,0.34,2.44,9.1,8n-5s-qbft-v25.12.0_20260124_025703,transfer,120,transfer_tps120
transfer,50,0,134.8,4.06,3.71,3.88,12.3,8n-5s-qbft-v25.12.0_20260124_025703,transfer,130,transfer_tps130
